                       x                       y                  u(x,y)
  1.1111111111111112E-01  1.0101010101010102E-02  6.4144386670314546E-01
  1.2121212121212122E-01  1.0101010101010102E-02  6.8863774854534343E-01
  1.3131313131313133E-01  1.0101010101010102E-02  7.3305889021087423E-01
  1.4141414141414144E-01  1.0101010101010102E-02  7.7452841437265840E-01
  1.5151515151515152E-01  1.0101010101010102E-02  8.1287932767828075E-01
  1.6161616161616163E-01  1.0101010101010102E-02  8.4795719619214538E-01
  1.7171717171717174E-01  1.0101010101010102E-02  8.7962076678429857E-01
  1.8181818181818182E-01  1.0101010101010102E-02  9.0774253291027052E-01
  1.9191919191919193E-01  1.0101010101010102E-02  9.3220925093305984E-01
  2.0202020202020204E-01  1.0101010101010102E-02  9.5292239654613742E-01
  2.1212121212121213E-01  1.0101010101010102E-02  9.6979855804298765E-01
  2.2222222222222224E-01  1.0101010101010102E-02  9.8276977509454289E-01
  2.3232323232323235E-01  1.0101010101010102E-02  9.9178381354395417E-01
  2.4242424242424243E-01  1.0101010101010102E-02  9.9680437054218685E-01
  2.5252525252525254E-01  1.0101010101010102E-02  9.9781122504059649E-01
  2.6262626262626265E-01  1.0101010101010102E-02  9.9480031916863310E-01
  2.7272727272727276E-01  1.0101010101010102E-02  9.8778377260188421E-01
  2.8282828282828287E-01  1.0101010101010102E-02  9.7678983554765442E-01
  2.9292929292929293E-01  1.0101010101010102E-02  9.6186277135755438E-01
  3.0303030303030304E-01  1.0101010101010102E-02  9.4306268297109996E-01
  3.1313131313131315E-01  1.0101010101010102E-02  9.2046527034867054E-01
  3.2323232323232326E-01  1.0101010101010102E-02  8.9416152131069260E-01
  3.3333333333333337E-01  1.0101010101010102E-02  8.6425734869744042E-01
  3.4343434343434348E-01  1.0101010101010102E-02  8.3087316389577326E-01
  3.5353535353535359E-01  1.0101010101010102E-02  7.9414339212955953E-01
  3.6363636363636365E-01  1.0101010101010102E-02  7.5421592768739665E-01
  3.7373737373737376E-01  1.0101010101010102E-02  7.1125154256883394E-01
  3.8383838383838387E-01  1.0101010101010102E-02  6.6542323847003393E-01
  3.9393939393939398E-01  1.0101010101010102E-02  6.1691554765585332E-01
  4.0404040404040409E-01  1.0101010101010102E-02  5.6592379180877961E-01
  4.1414141414141420E-01  1.0101010101010102E-02  5.1265329601689680E-01
  4.2424242424242425E-01  1.0101010101010102E-02  4.5731856006585897E-01
  4.3434343434343436E-01  1.0101010101010102E-02  4.0014239645535826E-01
  4.4444444444444448E-01  1.0101010101010102E-02  3.4135503331703748E-01
  4.5454545454545459E-01  1.0101010101010102E-02  2.8119318513376612E-01
  4.6464646464646470E-01  1.0101010101010102E-02  2.1989910196626875E-01
  4.7474747474747481E-01  1.0101010101010102E-02  1.5771959307962996E-01
  4.8484848484848486E-01  1.0101010101010102E-02  9.4905032848524001E-02
  4.9494949494949497E-01  1.0101010101010102E-02  3.1708353409683344E-02
  5.0505050505050508E-01  1.0101010101010102E-02 -3.1615974527808254E-02
  5.1515151515151525E-01  1.0101010101010102E-02 -9.4812966765527404E-02
