                       x                       y                  E(x,y)
  3.3333333333333337E-01  0.0000000000000000E+00  1.1241312871504919E-11
  3.4343434343434348E-01  0.0000000000000000E+00  1.0806494803500047E-11
  3.5353535353535359E-01  0.0000000000000000E+00  1.0329038804414003E-11
  3.6363636363636365E-01  0.0000000000000000E+00  9.8099442007565000E-12
  3.7373737373737376E-01  0.0000000000000000E+00  9.2510986092681141E-12
  3.8383838383838387E-01  0.0000000000000000E+00  8.6548337918048446E-12
  3.9393939393939398E-01  0.0000000000000000E+00  8.0238146190592641E-12
  4.0404040404040409E-01  0.0000000000000000E+00  7.3603728528873770E-12
  4.1414141414141420E-01  0.0000000000000000E+00  6.6677285453760413E-12
  4.2424242424242425E-01  0.0000000000000000E+00  5.9481024221024003E-12
  4.3434343434343436E-01  0.0000000000000000E+00  5.2042703900378861E-12
  4.4444444444444448E-01  0.0000000000000000E+00  4.4395635375482141E-12
  4.5454545454545459E-01  0.0000000000000000E+00  3.6567577716048156E-12
  4.6464646464646470E-01  0.0000000000000000E+00  2.8597671210374070E-12
  4.7474747474747481E-01  0.0000000000000000E+00  2.0509788658414187E-12
  4.8484848484848486E-01  0.0000000000000000E+00  1.2338628897311392E-12
  4.9494949494949497E-01  0.0000000000000000E+00  4.1184049804885630E-13
  5.0505050505050508E-01  0.0000000000000000E+00  4.1184049804885630E-13
  5.1515151515151525E-01  0.0000000000000000E+00  1.2338212511265679E-12
  5.2525252525252530E-01  0.0000000000000000E+00  2.0509233477019903E-12
  5.3535353535353536E-01  0.0000000000000000E+00  2.8596838438282641E-12
  5.4545454545454553E-01  0.0000000000000000E+00  3.6568688078836723E-12
  5.5555555555555558E-01  0.0000000000000000E+00  4.4396190556876425E-12
  5.6565656565656575E-01  0.0000000000000000E+00  5.2043259081773144E-12
  5.7575757575757580E-01  0.0000000000000000E+00  5.9480469039629719E-12
  5.8585858585858586E-01  0.0000000000000000E+00  6.6672844002606119E-12
  5.9595959595959602E-01  0.0000000000000000E+00  7.3605949254450921E-12
  6.0606060606060608E-01  0.0000000000000000E+00  8.0238146190592641E-12
  6.1616161616161624E-01  0.0000000000000000E+00  8.6551669006414164E-12
  6.2626262626262630E-01  0.0000000000000000E+00  9.2509875729892574E-12
  6.3636363636363646E-01  0.0000000000000000E+00  9.8100552370353583E-12
  6.4646464646464652E-01  0.0000000000000000E+00  1.0329260876971716E-11
  6.5656565656565657E-01  0.0000000000000000E+00  1.0806494803500047E-11
  6.6666666666666674E-01  0.0000000000000000E+00  1.1241423907783777E-11
  6.7676767676767680E-01  0.0000000000000000E+00  1.1630272956341760E-11
  6.8686868686868696E-01  0.0000000000000000E+00  1.1972486767779710E-11
  6.9696969696969702E-01  0.0000000000000000E+00  1.2266399797914771E-11
  7.0707070707070718E-01  0.0000000000000000E+00  1.2510568575121798E-11
  7.1717171717171724E-01  0.0000000000000000E+00  1.2705548280795076E-11
  7.2727272727272729E-01  0.0000000000000000E+00  1.2848229899126603E-11
  7.3737373737373746E-01  0.0000000000000000E+00  1.2939612756626094E-11
  7.4747474747474751E-01  0.0000000000000000E+00  1.2979141671899265E-11
  7.5757575757575768E-01  0.0000000000000000E+00  1.2965817318436398E-11
  7.6767676767676774E-01  0.0000000000000000E+00  1.2900639022747209E-11
  7.7777777777777779E-01  0.0000000000000000E+00  1.2783051603437414E-11
  7.8787878787878796E-01  0.0000000000000000E+00  1.2614387495853298E-11
  7.9797979797979801E-01  0.0000000000000000E+00  1.2394868772552575E-11
  8.0808080808080818E-01  0.0000000000000000E+00  1.2125938905160388E-11
  8.1818181818181823E-01  0.0000000000000000E+00  1.1807486857397883E-11
  8.2828282828282840E-01  0.0000000000000000E+00  1.1441733354842201E-11
  8.3838383838383845E-01  0.0000000000000000E+00  1.1029677724003059E-11
  8.4848484848484851E-01  0.0000000000000000E+00  1.0573429654178743E-11
  8.5858585858585867E-01  0.0000000000000000E+00  1.0074876762109827E-11
  8.6868686868686873E-01  0.0000000000000000E+00  9.5350183743060239E-12
  8.7878787878787890E-01  0.0000000000000000E+00  8.9571855791330536E-12
  8.8888888888888895E-01  0.0000000000000000E+00  8.3439322110046287E-12
  8.9898989898989912E-01  0.0000000000000000E+00  7.6959244875938946E-12
  9.0909090909090917E-01  0.0000000000000000E+00  7.0178259326128549E-12
  9.1919191919191923E-01  0.0000000000000000E+00  6.3109689814077941E-12
  9.2929292929292939E-01  0.0000000000000000E+00  5.5788512767627164E-12
  9.3939393939393945E-01  0.0000000000000000E+00  4.8244152800673378E-12
  9.4949494949494961E-01  0.0000000000000000E+00  4.0502148257353736E-12
  9.5959595959595967E-01  0.0000000000000000E+00  3.2601917016662554E-12
  9.6969696969696972E-01  0.0000000000000000E+00  2.4565666334371279E-12
  9.7979797979797989E-01  0.0000000000000000E+00  1.6432536498777081E-12
  9.8989898989898994E-01  0.0000000000000000E+00  8.2323685098228378E-13
  1.0000000000000000E+00  0.0000000000000000E+00  2.0445296450790191E-10
  0.0000000000000000E+00  1.0101010101010102E-02  0.0000000000000000E+00
  1.0101010101010102E-02  1.0101010101010102E-02  6.2996638889646048E-06
  2.0202020202020204E-02  1.0101010101010102E-02  1.2252312512930719E-05
  3.0303030303030304E-02  1.0101010101010102E-02  1.7853685973110116E-05
  4.0404040404040407E-02  1.0101010101010102E-02  2.3099728606959624E-05
  5.0505050505050511E-02  1.0101010101010102E-02  2.7986625984358898E-05
  6.0606060606060608E-02  1.0101010101010102E-02  3.2510981333903358E-05
  7.0707070707070718E-02  1.0101010101010102E-02  3.6669747128567222E-05
  8.0808080808080815E-02  1.0101010101010102E-02  4.0460455234679260E-05
  9.0909090909090912E-02  1.0101010101010102E-02  4.3881544572098125E-05
  1.0101010101010102E-01  1.0101010101010102E-02  4.6931493835765163E-05
  1.1111111111111112E-01  1.0101010101010102E-02  4.9609809733020996E-05
  1.2121212121212122E-01  1.0101010101010102E-02  5.1917161626752385E-05
  1.3131313131313133E-01  1.0101010101010102E-02  5.3854454845818233E-05
  1.4141414141414144E-01  1.0101010101010102E-02  5.5422957492810386E-05
  1.5151515151515152E-01  1.0101010101010102E-02  5.6626570073006023E-05
  1.6161616161616163E-01  1.0101010101010102E-02  5.7468790543865951E-05
  1.7171717171717174E-01  1.0101010101010102E-02  5.7953162417260982E-05
  1.8181818181818182E-01  1.0101010101010102E-02  5.8086257526253570E-05
  1.9191919191919193E-01  1.0101010101010102E-02  5.7874751065801602E-05
  2.0202020202020204E-01  1.0101010101010102E-02  5.7324963813498238E-05
  2.1212121212121213E-01  1.0101010101010102E-02  5.6446290179146792E-05
  2.2222222222222224E-01  1.0101010101010102E-02  5.5248252081172421E-05
  2.3232323232323235E-01  1.0101010101010102E-02  5.3739317946772346E-05
  2.4242424242424243E-01  1.0101010101010102E-02  5.1932062187273015E-05
  2.5252525252525254E-01  1.0101010101010102E-02  4.9838800204447747E-05
  2.6262626262626265E-01  1.0101010101010102E-02  4.7471584129610574E-05
  2.7272727272727276E-01  1.0101010101010102E-02  4.4844126110761366E-05
  2.8282828282828287E-01  1.0101010101010102E-02  4.1969955638889539E-05
  2.9292929292929293E-01  1.0101010101010102E-02  3.8865999323072075E-05
  3.0303030303030304E-01  1.0101010101010102E-02  3.5547835650500434E-05
  3.1313131313131315E-01  1.0101010101010102E-02  3.2030186045645147E-05
  3.2323232323232326E-01  1.0101010101010102E-02  2.8331199931474920E-05
  3.3333333333333337E-01  1.0101010101010102E-02  2.4468845563610670E-05
  3.4343434343434348E-01  1.0101010101010102E-02  2.0460837315220364E-05
  3.5353535353535359E-01  1.0101010101010102E-02  1.6324419747876544E-05
