                       x                       y                  u(x,y)
  3.1313131313131315E-01  0.0000000000000000E+00  9.2235429410458136E-01
  3.2323232323232326E-01  0.0000000000000000E+00  8.9599377429133586E-01
  3.3333333333333337E-01  0.0000000000000000E+00  8.6602540378443849E-01
  3.4343434343434348E-01  0.0000000000000000E+00  8.3256985463477118E-01
  3.5353535353535359E-01  0.0000000000000000E+00  7.9576184053083199E-01
  3.6363636363636365E-01  0.0000000000000000E+00  7.5574957435425827E-01
  3.7373737373737376E-01  0.0000000000000000E+00  7.1269417137886271E-01
  3.8383838383838387E-01  0.0000000000000000E+00  6.6676900051629173E-01
  3.9393939393939398E-01  0.0000000000000000E+00  6.1815898622060506E-01
  4.0404040404040409E-01  0.0000000000000000E+00  5.6705986386277041E-01
  4.1414141414141420E-01  0.0000000000000000E+00  5.1367739157340631E-01
  4.2424242424242425E-01  0.0000000000000000E+00  4.5822652172741052E-01
  4.3434343434343436E-01  0.0000000000000000E+00  4.0093053540661361E-01
  4.4444444444444448E-01  0.0000000000000000E+00  3.4202014332566849E-01
  4.5454545454545459E-01  0.0000000000000000E+00  2.8173255684142967E-01
  4.6464646464646470E-01  0.0000000000000000E+00  2.2031053278654036E-01
  4.7474747474747481E-01  0.0000000000000000E+00  1.5800139597334945E-01
  4.8484848484848486E-01  0.0000000000000000E+00  9.5056043304182880E-02
  4.9494949494949497E-01  0.0000000000000000E+00  3.1727933498067656E-02
  5.0505050505050508E-01  0.0000000000000000E+00 -3.1727933498067858E-02
  5.1515151515151525E-01  0.0000000000000000E+00 -9.5056043304183074E-02
  5.2525252525252530E-01  0.0000000000000000E+00 -1.5800139597335008E-01
  5.3535353535353536E-01  0.0000000000000000E+00 -2.2031053278654056E-01
  5.4545454545454553E-01  0.0000000000000000E+00 -2.8173255684142984E-01
  5.5555555555555558E-01  0.0000000000000000E+00 -3.4202014332566866E-01
  5.6565656565656575E-01  0.0000000000000000E+00 -4.0093053540661422E-01
  5.7575757575757580E-01  0.0000000000000000E+00 -4.5822652172741068E-01
  5.8585858585858586E-01  0.0000000000000000E+00 -5.1367739157340608E-01
  5.9595959595959602E-01  0.0000000000000000E+00 -5.6705986386277096E-01
  6.0606060606060608E-01  0.0000000000000000E+00 -6.1815898622060528E-01
  6.1616161616161624E-01  0.0000000000000000E+00 -6.6676900051629184E-01
  6.2626262626262630E-01  0.0000000000000000E+00 -7.1269417137886293E-01
  6.3636363636363646E-01  0.0000000000000000E+00 -7.5574957435425871E-01
  6.4646464646464652E-01  0.0000000000000000E+00 -7.9576184053083210E-01
  6.5656565656565657E-01  0.0000000000000000E+00 -8.3256985463477129E-01
  6.6666666666666674E-01  0.0000000000000000E+00 -8.6602540378443882E-01
  6.7676767676767680E-01  0.0000000000000000E+00 -8.9599377429133598E-01
  6.8686868686868696E-01  0.0000000000000000E+00 -9.2235429410458170E-01
  6.9696969696969702E-01  0.0000000000000000E+00 -9.4500081871466834E-01
  7.0707070707070718E-01  0.0000000000000000E+00 -9.6384215855994215E-01
  7.1717171717171724E-01  0.0000000000000000E+00 -9.7880244621477874E-01
  7.2727272727272729E-01  0.0000000000000000E+00 -9.8982144188093268E-01
  7.3737373737373746E-01  0.0000000000000000E+00 -9.9685477595194238E-01
  7.4747474747474751E-01  0.0000000000000000E+00 -9.9987412767387507E-01
  7.5757575757575768E-01  0.0000000000000000E+00 -9.9886733918300796E-01
  7.6767676767676774E-01  0.0000000000000000E+00 -9.9383846446125412E-01
  7.7777777777777779E-01  0.0000000000000000E+00 -9.8480775301220813E-01
  7.8787878787878796E-01  0.0000000000000000E+00 -9.7181156832354165E-01
  7.9797979797979801E-01  0.0000000000000000E+00 -9.5490224144407387E-01
  8.0808080808080818E-01  0.0000000000000000E+00 -9.3414786026510643E-01
  8.1818181818181823E-01  0.0000000000000000E+00 -9.0963199535451822E-01
  8.2828282828282840E-01  0.0000000000000000E+00 -8.8145336344758196E-01
  8.3838383838383845E-01  0.0000000000000000E+00 -8.4972542994951439E-01
